Target Accession,Start Ali.,End Ali.,Start Env.,End Env.
Q9NZN1,1,696,1,696
Q9Y2C9,1,783,1,784
Q9NP60,1,686,1,686
Q15399,3,781,1,784
Q9NPH3,1,568,1,570
O60603,1,782,1,784
O95256,1,593,1,598
P14778,1,560,1,568
Q13478,1,512,1,517
Q01638,1,554,1,556
Q9HB29,1,572,1,574
O75093,69,223,64,233
O75093,352,443,338,444
O75093,428,450,425,458
O75093,548,671,540,680
O75093,766,857,761,876
O75094,69,201,62,225
O75094,350,437,327,442
O75094,559,663,554,669
O75094,757,861,754,869
O43300,59,242,52,247
O43300,218,305,218,317
Q8TF66,92,241,61,260
Q8TF66,298,406,294,411
O94813,62,208,58,230
O94813,325,411,304,417
O94813,420,447,419,451
O94813,552,664,534,672
O94813,760,846,756,855
Q9BXR5,7,170,1,178
Q9BXR5,325,773,287,776
P22792,114,213,109,220
P22792,217,256,210,267
P22792,293,378,269,387
P35858,160,276,146,278
P35858,285,396,280,400
P35858,402,483,398,520
Q86VH4,65,265,60,269
Q86VH4,138,311,135,320
O75473,71,222,69,249
O75473,260,437,203,444
Q96JA1,73,224,70,227
Q96JA1,360,438,359,441
Q92626,69,196,64,203
Q86UN3,125,239,120,245
Q7Z2Q7,70,190,69,198
Q7Z2Q7,131,265,128,268
Q7Z2Q7,216,335,189,341
P0C6S8,80,182,77,187
P0C6S8,202,303,193,309
P0C6S8,303,354,295,357
Q9BXB1,63,211,60,237
Q86VH5,67,271,64,291
Q6NUI6,104,219,66,223
Q9HBX8,71,244,67,257
Q9HBX8,373,439,323,449
O94898,124,235,119,240
O94898,253,369,238,377
O94898,361,438,359,453
Q7L0X0,86,215,80,219
Q7L0X0,208,337,199,340
Q86WK6,65,177,63,185
O14498,55,160,53,164
Q86UE6,84,198,70,201
Q86UE6,255,315,247,322
Q9HBW1,84,170,69,203
Q9HBW1,255,301,243,305
P07585,87,131,78,161
P07585,221,319,207,324
Q9GZU5,204,314,201,319
Q8IW52,75,183,69,194
Q8IW52,386,491,378,534
Q9BZR6,106,231,88,247
Q9HBX9,131,237,128,245
Q9HBX9,285,341,281,350
Q50LG9,55,185,52,204
Q9HCJ2,72,168,66,174
Q9HCJ2,247,302,226,306
Q8N6Y2,88,165,81,183
Q8N6Y2,271,354,269,356
Q6EMK4,95,149,76,169
Q6EMK4,168,325,163,367
Q7L985,60,167,56,169
Q7L985,168,283,164,290
Q7L985,288,356,282,362
Q8WXD0,144,205,134,210
Q8WXD0,178,249,174,254
Q8WXD0,258,326,251,331
Q8WXD0,325,379,323,383
P40197,65,160,64,180
P40197,196,266,193,297
P40197,340,403,332,425
Q6UXK5,90,231,69,234
Q6UXK5,232,350,228,353
Q6UXK5,363,382,359,389
Q9NT99,92,216,75,241
Q9NT99,243,311,237,314
Q86SJ2,95,176,73,184
Q9H3W5,96,181,92,188
Q9H3W5,183,286,180,292
Q9H3W5,360,380,349,385
Q96FE5,97,177,72,184
Q96FE5,182,371,179,374
O60602,94,164,85,182
O60602,302,395,291,538
O60602,496,542,468,560
O15335,95,236,80,248
Q6UXM1,242,369,237,375
Q6UXM1,392,452,381,455
Q86YC3,155,216,134,226
Q86YC3,328,438,311,449
O75325,97,182,72,194
O75325,198,289,184,305
Q5VT99,88,165,80,195
P02750,120,224,94,227
P02750,162,281,161,286
Q9H156,67,172,63,196
Q9H156,356,420,345,426
Q9H156,428,504,425,506
O94991,86,191,84,199
O94991,428,522,416,556
Q6PEZ8,204,253,198,256
Q6PEZ8,240,446,237,450
Q16288,91,209,61,243
Q96NI6,64,206,54,213
Q96NI6,153,219,141,233
Q2I0M4,91,201,76,202
O94933,87,212,80,229
Q9H756,52,157,48,166
Q8N967,88,194,80,200
Q99983,92,155,74,159
Q99983,208,272,169,315
