Target Name	Target Accession	Target Length	Query Name	Query Accession	Query Length	E-value	Score	Bias	Domain Index	Domain Count	Cond. E-value	Domain Ind. E-value	Domain Bit-score	Domain Bias	Query Ali. Start	Query Ali. End	Target Ali. Start	Target Ali. End	Target Env. Start	Target Env. End	Acc	Description	Mapped PDB(s)	Number of Identical Sequences
IRPL1_PANTR	IRPL1_PANTR	696	Query	-	542	3.4e-164	551.8	4.0	1	1	3.8e-168	3.9e-164	551.545837402344	3.99	1	542	1	542	1	542	1.00	Interleukin-1 receptor accessory protein-like 1		0
IRPL1_HUMAN	IRPL1_HUMAN	696	Query	-	542	3.4e-164	551.8	4.0	1	1	3.8e-168	3.9e-164	551.545837402344	3.99	1	542	1	542	1	542	1.00	Interleukin-1 receptor accessory protein-like 1	1t3g_B	0
IRPL1_PONPY	IRPL1_PONPY	696	Query	-	542	8.2e-164	550.5	4.2	1	1	9.3e-168	9.5e-164	550.274719238281	4.19	1	542	1	542	1	542	1.00	Interleukin-1 receptor accessory protein-like 1		0
IRPL1_RAT	IRPL1_RAT	696	Query	-	542	3.6e-163	548.4	4.1	1	1	4.0e-167	4.1e-163	548.164428710938	4.06	1	542	1	542	1	542	1.00	Interleukin-1 receptor accessory protein-like 1		0
IRPL1_MOUSE	IRPL1_MOUSE	695	Query	-	542	4.3e-158	531.6	3.2	1	1	4.9e-162	5.0e-158	531.40478515625	3.24	1	542	1	541	1	541	1.00	Interleukin-1 receptor accessory protein-like 1	4yh6_A	0
IL1AP_MACMU	IL1AP_MACMU	570	Query	-	542	3.0e-149	502.4	7.2	1	1	3.3e-153	3.4e-149	502.259124755859	7.16	1	542	1	542	1	542	1.00	Interleukin-1 receptor accessory protein		0
IL1AP_HUMAN	IL1AP_HUMAN	570	Query	-	542	3.6e-149	502.2	7.7	1	1	4.0e-153	4.1e-149	501.989044189453	7.68	1	542	1	542	1	542	1.00	Interleukin-1 receptor accessory protein	4dep_F	0
IL1AP_RAT	IL1AP_RAT	570	Query	-	542	9.3e-146	490.9	6.9	1	1	1.0e-149	1.1e-145	490.739624023438	6.94	1	542	1	542	1	542	1.00	Interleukin-1 receptor accessory protein		0
IL1AP_MOUSE	IL1AP_MOUSE	570	Query	-	542	2.1e-144	486.4	7.5	1	1	2.4e-148	2.4e-144	486.243133544922	7.55	1	542	1	542	1	542	1.00	Interleukin-1 receptor accessory protein	5vi4_C	0
IRL1B_DANRE	IRL1B_DANRE	700	Query	-	542	2.3e-132	446.7	0.2	1	1	2.7e-136	2.7e-132	446.486145019531	0.21	1	542	1	542	1	542	1.00	Interleukin-1 receptor accessory protein-like 1-B		0
ILRL2_MOUSE	ILRL2_MOUSE	574	Query	-	542	3.8e-126	426.2	4.1	1	1	4.3e-130	4.4e-126	426.013488769531	4.11	1	542	1	542	1	542	1.00	Interleukin-1 receptor-like 2		0
ILRL2_RAT	ILRL2_RAT	561	Query	-	542	6.3e-125	422.2	6.3	1	1	6.9e-129	7.1e-125	422.019439697266	6.26	1	542	1	542	1	542	1.00	Interleukin-1 receptor-like 2		0
IL1R1_RAT	IL1R1_RAT	576	Query	-	542	6.0e-124	419.0	8.8	1	1	6.7e-128	6.8e-124	418.771331787109	8.83	1	542	1	542	1	542	1.00	Interleukin-1 receptor type 1		0
IL1R1_MOUSE	IL1R1_MOUSE	576	Query	-	542	2.8e-123	416.8	15.1	1	1	3.1e-127	3.1e-123	416.593017578125	15.11	1	542	1	542	1	542	1.00	Interleukin-1 receptor type 1		0
ILRL1_RAT	ILRL1_RAT	566	Query	-	542	5.9e-123	415.7	0.0	1	1	6.5e-127	6.7e-123	415.50537109375	0.02	1	542	1	542	1	542	1.00	Interleukin-1 receptor-like 1		0
ILRL1_MOUSE	ILRL1_MOUSE	567	Query	-	542	1.8e-122	414.1	0.3	1	1	2.0e-126	2.0e-122	413.912689208984	0.32	1	542	1	543	1	543	0.97	Interleukin-1 receptor-like 1	5vi4_E	0
TLR2_SHEEP	TLR2_SHEEP	784	Query	-	542	1.5e-116	394.5	29.5	1	1	1.8e-120	1.8e-116	394.272552490234	29.51	1	541	1	541	1	542	1.00	Toll-like receptor 2		0
TLR2_CAPHI	TLR2_CAPHI	784	Query	-	542	1.8e-116	394.3	28.8	1	1	2.1e-120	2.2e-116	394.018341064453	28.75	1	541	1	541	1	542	1.00	Toll-like receptor 2		0
IRPL2_HUMAN	IRPL2_HUMAN	686	Query	-	542	3.6e-116	393.3	9.2	1	1	5.0e-120	5.1e-116	392.792663574219	9.16	1	541	1	541	1	542	0.97	X-linked interleukin-1 receptor accessory protein-like 2		0
TLR2_CAPIB	TLR2_CAPIB	784	Query	-	542	4.8e-116	392.9	28.1	1	1	5.6e-120	5.7e-116	392.626403808594	28.08	1	541	1	541	1	542	1.00	Toll-like receptor 2		0
TLR2_BOSIN	TLR2_BOSIN	784	Query	-	542	1.3e-114	388.2	30.2	1	1	1.5e-118	1.6e-114	387.885925292969	30.16	1	541	1	541	1	542	1.00	Toll-like receptor 2		0
IRPL2_MOUSE	IRPL2_MOUSE	686	Query	-	542	2.3e-114	387.3	10.0	1	1	3.2e-118	3.2e-114	386.843658447266	10.01	1	541	1	541	1	542	1.00	X-linked interleukin-1 receptor accessory protein-like 2		0
